Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms), Processing Time (s)
yolov5n.pt,videos/7.jpg,15812,91.7,6148.968169000,5.832392454147339
yolov5n.pt,videos/cars2.jpg,223654,103.0,6402.595811000,5.9625701904296875
yolov5n.pt,videos/cars.jpg,238211,111.2,6643.022941000,6.022334098815918
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,98.2,6394.486789000,6.049023866653442
yolov5n.pt,videos/hd-bird.jpg,266489,93.5,6686.545703000,6.134034872055054
yolov5n.pt,videos/hd-car.jpg,282293,84.4,6557.783461000,6.037021636962891
yolov5n.pt,videos/hd-image.jpg,14667,99.9,6233.222066000,5.862257719039917
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,98.4,6522.004657000,6.0531322956085205
yolov5n.pt,videos/10.jpg,9192,108.6,6197.057189000,5.960171937942505
yolov5n.pt,videos/12.jpg,11641,103.7,6297.118919000,5.984935283660889
yolov5n.pt,videos/13.jpg,9674,110.1,6355.909882000,5.913412809371948
yolov5n.pt,videos/17.jpg,14140,138.5,6306.544594000,5.975120306015015
yolov5n.pt,videos/18.jpg,8091,118.6,6386.482768000,6.074008941650391
yolov5n.pt,videos/19.jpg,9571,143.9,6376.398351000,5.969452381134033
yolov5n.pt,videos/1.jpg,11834,106.7,6511.331459000,6.0329413414001465
yolov5n.pt,videos/29.jpg,12402,97.9,6384.503730000,5.875624179840088
yolov5n.pt,videos/2.jpg,12883,118.4,6327.848062000,5.999380588531494
yolov5n.pt,videos/30.jpg,18119,111.7,6341.099652000,5.95652437210083
yolov5n.pt,videos/3.jpg,10567,89.5,6260.093966000,5.903604030609131
yolov5n.pt,videos/4.jpg,12030,93.2,6149.729619000,5.845677137374878
yolov5n.pt,videos/5.jpg,14688,99.5,6204.664963000,5.7887561321258545
yolov5n.pt,videos/6.jpg,13453,102.4,6248.670398000,5.914069652557373
yolov5n.pt,videos/7.jpg,15812,100.7,6274.236337000,5.911813259124756
yolov5n.pt,videos/cars2.jpg,223654,100.7,6505.134170000,6.0617804527282715
yolov5n.pt,videos/cars.jpg,238211,98.8,6668.145389000,6.049826622009277
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,93.8,6487.972602000,5.961538314819336
yolov5n.pt,videos/hd-bird.jpg,266489,84.1,6602.830938000,6.021640300750732
yolov5n.pt,videos/hd-car.jpg,282293,83.6,6783.542410000,6.180890083312988
yolov5n.pt,videos/hd-image.jpg,14667,94.3,6272.935661000,5.904383659362793
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,118.3,6607.532419000,6.195759296417236
yolov5n.pt,videos/10.jpg,9192,100.5,6245.160474000,5.820521831512451
yolov5n.pt,videos/12.jpg,11641,124.5,6346.979201000,5.991697788238525
yolov5n.pt,videos/13.jpg,9674,111.3,6348.683905000,5.936708211898804
yolov5n.pt,videos/17.jpg,14140,135.3,6323.016015000,5.974519968032837
yolov5n.pt,videos/18.jpg,8091,107.1,6094.429248000,5.84486985206604
yolov5n.pt,videos/19.jpg,9571,139.0,6178.141141000,5.879806280136108
yolov5n.pt,videos/1.jpg,11834,114.5,6395.068072000,6.041856050491333
yolov5n.pt,videos/29.jpg,12402,95.3,6102.987597000,5.9052207469940186
yolov5n.pt,videos/2.jpg,12883,111.8,6398.701826000,6.038227558135986
yolov5n.pt,videos/30.jpg,18119,108.8,6356.127547000,5.933152675628662
yolov5n.pt,videos/3.jpg,10567,84.8,6243.645861000,5.824767112731934
yolov5n.pt,videos/4.jpg,12030,84.2,6174.164454000,5.865875005722046
yolov5n.pt,videos/5.jpg,14688,102.1,6216.473757000,5.912127256393433
yolov5n.pt,videos/6.jpg,13453,117.4,6151.318896000,5.766622304916382
yolov5n.pt,videos/7.jpg,15812,93.4,6239.909796000,5.903861999511719
yolov5n.pt,videos/cars2.jpg,223654,93.0,6239.747774000,5.853692531585693
yolov5n.pt,videos/cars.jpg,238211,104.1,6718.041605000,6.129365921020508
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,102.4,6274.396020000,5.961055278778076
yolov5n.pt,videos/hd-bird.jpg,266489,81.0,6624.277637000,6.1556785106658936
yolov5n.pt,videos/hd-car.jpg,282293,92.4,6452.847160000,6.036169767379761
yolov5n.pt,videos/hd-image.jpg,14667,96.2,6271.365874000,5.914451360702515
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,103.8,6593.914196000,6.047193765640259
yolov5n.pt,videos/10.jpg,9192,115.4,6284.878343000,5.922112464904785
yolov5n.pt,videos/12.jpg,11641,109.0,6354.151146000,5.874701976776123
yolov5n.pt,videos/13.jpg,9674,104.9,6095.413431000,5.7281718254089355
yolov5n.pt,videos/17.jpg,14140,158.5,6409.703552000,5.943385124206543
yolov5n.pt,videos/18.jpg,8091,105.4,6326.953568000,5.905303239822388
yolov5n.pt,videos/19.jpg,9571,132.5,6378.954892000,6.0142903327941895
yolov5n.pt,videos/1.jpg,11834,97.3,6267.023994000,5.930831670761108
yolov5n.pt,videos/29.jpg,12402,102.5,6183.748246000,5.850342035293579
yolov5n.pt,videos/2.jpg,12883,127.5,6148.876627000,5.885395288467407
yolov5n.pt,videos/30.jpg,18119,104.5,6398.023955000,5.902321100234985
yolov5n.pt,videos/3.jpg,10567,86.7,6250.252374000,5.913778305053711
yolov5n.pt,videos/4.jpg,12030,108.3,6396.052846000,5.8997132778167725
yolov5n.pt,videos/5.jpg,14688,96.4,6126.825731000,5.823835849761963
yolov5n.pt,videos/6.jpg,13453,95.8,6190.742466000,5.9047534465789795
yolov5n.pt,videos/7.jpg,15812,97.2,6199.848884000,5.826733112335205
yolov5n.pt,videos/cars2.jpg,223654,103.3,6250.371016000,6.002756118774414
yolov5n.pt,videos/cars.jpg,238211,120.5,6676.218826000,6.119001150131226
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,97.7,6236.532351000,5.813109636306763
yolov5n.pt,videos/hd-bird.jpg,266489,87.9,6776.663756000,6.038834095001221
yolov5n.pt,videos/hd-car.jpg,282293,108.9,6654.347173000,6.084276914596558
yolov5n.pt,videos/hd-image.jpg,14667,95.4,6195.749088000,5.89813232421875
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,108.4,6369.322833000,6.028254985809326
