Time,model,File Name,Propagation Delay (s),processing_delay (ms),E2E Delay (s),location,core,model_acc,ram
1716401293,yolov5s,6.jpg,0.169148207,1635.662794,1.828178406,london,half,56.8,500
1716401295,yolov5s,6.jpg,0.254793167,1183.134556,1.465982199,london,half,56.8,500
1716401297,yolov5s,6.jpg,0.197931767,1611.689329,1.835036993,london,half,56.8,500
1716401299,yolov5s,6.jpg,0.425156116,1796.302795,2.249316454,london,half,56.8,500
1716401301,yolov5s,6.jpg,0.232911825,1415.151358,1.674767256,london,half,56.8,500
1716401303,yolov5s,6.jpg,0.156605005,1771.338701,1.957008839,london,half,56.8,500
1716401305,yolov5s,6.jpg,0.556280851,1297.872305,1.886653185,london,half,56.8,500
1716401307,yolov5s,6.jpg,0.181810856,1791.451454,1.997953653,london,half,56.8,500
1716401308,yolov5s,6.jpg,0.216370821,1304.371595,1.551826954,london,half,56.8,500
1716401310,yolov5s,6.jpg,0.210770369,1243.93177,1.478176355,london,half,56.8,500
1716401311,yolov5s,6.jpg,0.163679123,1589.98847,1.781820297,london,half,56.8,500
1716401314,yolov5s,6.jpg,0.156126499,1988.925219,2.171200275,london,half,56.8,500
1716401315,yolov5s,6.jpg,0.209485054,1216.483831,1.457212448,london,half,56.8,500
1716401317,yolov5s,6.jpg,0.406285048,1248.669386,1.67561841,london,half,56.8,500
1716401319,yolov5s,6.jpg,0.229449511,1805.227041,2.063379526,london,half,56.8,500
1716401320,yolov5s,6.jpg,0.205018997,1122.054577,1.352793694,london,half,56.8,500
1716401322,yolov5s,6.jpg,0.196560383,1780.269384,2.006846905,london,half,56.8,500
1716401323,yolov5s,6.jpg,0.196773767,1151.484013,1.376777887,london,half,56.8,500
1716401325,yolov5s,6.jpg,0.220521927,1797.75691,2.047191858,london,half,56.8,500
1716401327,yolov5s,6.jpg,0.233170748,1215.470791,1.477581024,london,half,56.8,500
1716401329,yolov5s,6.jpg,0.172127724,1760.974646,1.957571507,london,half,56.8,500
1716401331,yolov5s,6.jpg,0.165639877,1380.295038,1.57626605,london,half,56.8,500
1716401333,yolov5s,6.jpg,0.360769033,1905.324459,2.294433117,london,half,56.8,500
1716401334,yolov5s,6.jpg,0.179957151,1311.887026,1.524735212,london,half,56.8,500
1716401337,yolov5s,6.jpg,0.415933847,1812.168598,2.247081518,london,half,56.8,500
1716401338,yolov5s,6.jpg,0.437601566,1148.646355,1.620872259,london,half,56.8,500
1716401340,yolov5s,6.jpg,0.18042469,1844.778061,2.050842524,london,half,56.8,500
1716401342,yolov5s,6.jpg,0.194277287,1857.35321,2.079929352,london,half,56.8,500
1716401344,yolov5s,6.jpg,0.244823933,1284.079552,1.55530715,london,half,56.8,500
1716401346,yolov5s,6.jpg,0.190582514,1766.034603,1.985154629,london,half,56.8,500
1716401347,yolov5s,6.jpg,0.272619963,1052.212715,1.355635643,london,half,56.8,500
1716401349,yolov5s,6.jpg,0.196947098,1894.613504,2.118116856,london,half,56.8,500
1716401351,yolov5s,6.jpg,0.200050831,1263.129711,1.49667573,london,half,56.8,500
1716401352,yolov5s,6.jpg,0.195699453,1368.451595,1.590564728,london,half,56.8,500
1716401354,yolov5s,6.jpg,0.263859272,1577.65317,1.872113466,london,half,56.8,500
1716401357,yolov5s,6.jpg,0.382506371,1816.596508,2.223750114,london,half,56.8,500
1716401358,yolov5s,6.jpg,0.113258362,1370.645523,1.5187397,london,half,56.8,500
1716401359,yolov5s,6.jpg,0.195965052,1168.749571,1.388097763,london,half,56.8,500
1716401362,yolov5s,6.jpg,0.187144756,1885.649443,2.104653835,london,half,56.8,500
1716401363,yolov5s,6.jpg,0.104710579,1162.201405,1.289274693,london,half,56.8,500
1716401365,yolov5s,6.jpg,0.137569904,1875.459433,2.040727139,london,half,56.8,500
1716401366,yolov5s,6.jpg,0.213198662,1227.217436,1.466928959,london,half,56.8,500
1716401369,yolov5s,6.jpg,0.400266886,1777.143478,2.206576347,london,half,56.8,500
1716401370,yolov5s,6.jpg,0.188295603,1160.226822,1.377147198,london,half,56.8,500
1716401372,yolov5s,6.jpg,0.15828228,1810.112476,1.991437435,london,half,56.8,500
1716401374,yolov5s,6.jpg,0.408120632,1387.234211,1.826244831,london,half,56.8,500
1716401376,yolov5s,6.jpg,0.173726082,1752.112865,1.94883728,london,half,56.8,500
1716401377,yolov5s,6.jpg,0.29046154,1320.963383,1.645848036,london,half,56.8,500
1716401379,yolov5s,6.jpg,0.178202391,1771.404266,1.974316597,london,half,56.8,500
1716401381,yolov5s,6.jpg,0.263567209,1307.519674,1.60146904,london,half,56.8,500
1716401383,yolov5s,6.jpg,0.185083151,1820.807457,2.03382659,london,half,56.8,500
1716401385,yolov5s,6.jpg,0.158298969,1881.975651,2.069059372,london,half,56.8,500
1716401387,yolov5s,6.jpg,0.290266037,1196.984529,1.515389919,london,half,56.8,500
1716401389,yolov5s,6.jpg,0.258573771,1707.479954,1.999501467,london,half,56.8,500
1716401390,yolov5s,6.jpg,0.17807889,1268.200636,1.465879202,london,half,56.8,500
1716401392,yolov5s,6.jpg,0.188482761,2021.48962,2.238247871,london,half,56.8,500
1716401394,yolov5s,6.jpg,0.439913034,1256.665707,1.727799892,london,half,56.8,500
1716401395,yolov5s,6.jpg,0.186777115,1233.240366,1.446649313,london,half,56.8,500
1716401397,yolov5s,6.jpg,0.173854351,1802.90246,2.006950855,london,half,56.8,500
